Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2010","2010","kg/ha","1725.1","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2011","2011","kg/ha","1584","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2012","2012","kg/ha","1736.6","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2013","2013","kg/ha","1692.2","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2014","2014","kg/ha","1660.2","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","1823","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","1428.4","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","1527.2","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","1765.6","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","1560","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","1774.1","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","1523.8","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","1458.3","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","1763.4","A","Official value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2024","2024","kg/ha","1666.2","A","Official value",""
