county,lat,lon,ph,nitrogen_total,phosphorous_extractable,potassium_extractable,carbon_organic,cation_exchange_capacity,clay_content,sand_content
Trans Nzoia,0.9657,34.9432,5.4,1.6,12.5,147.4,19.1,11.2,44.0,34.0
Trans Nzoia,1.1438,35.0617,5.6,2.1,10.0,147.4,21.2,15.4,41.0,36.0
Trans Nzoia,1.146,34.8732,5.7,1.7,15.4,243.7,15.4,17.2,41.0,29.0
Trans Nzoia,0.9752,34.7294,5.5,2.9,11.2,180.3,29.0,17.2,38.0,34.0
Trans Nzoia,0.9955,34.7778,5.5,2.5,13.9,163.0,26.1,19.1,40.0,36.0
Trans Nzoia,1.1245,34.9457,6.0,1.5,11.2,243.7,15.4,13.9,44.0,31.0
Trans Nzoia,1.139,34.748,5.4,2.9,11.2,163.0,29.0,15.4,38.0,34.0
Trans Nzoia,0.9109,34.8094,5.5,2.3,10.0,180.3,21.2,11.2,43.0,30.0
Trans Nzoia,1.0457,34.9877,5.8,1.5,10.0,163.0,19.1,11.2,42.0,38.0
Trans Nzoia,1.0959,34.9344,5.8,1.5,9.0,220.4,13.9,13.9,41.0,37.0
Trans Nzoia,1.131,34.7638,5.4,2.9,10.0,180.3,26.1,17.2,42.0,33.0
Trans Nzoia,1.2105,34.8324,5.9,1.5,13.9,269.4,17.2,13.9,43.0,36.0
Trans Nzoia,0.9392,34.7756,5.5,2.6,12.5,243.7,23.5,15.4,38.0,36.0
Trans Nzoia,1.056,35.0968,5.7,2.2,8.0,163.0,21.2,15.4,46.0,33.0
Trans Nzoia,1.0985,34.6365,5.6,3.7,13.9,163.0,32.1,13.9,31.0,42.0
Bungoma,0.6155,34.735,5.8,1.0,11.2,108.9,10.0,8.0,37.0,36.0
Bungoma,1.0747,34.6577,5.7,3.3,12.5,199.3,39.4,15.4,35.0,40.0
Bungoma,0.7444,34.4481,6.0,0.9,13.9,163.0,10.0,11.2,30.0,54.0
Bungoma,0.9715,34.4941,5.4,4.3,11.2,180.3,43.7,12.5,34.0,41.0
Bungoma,0.5415,34.5456,5.8,1.1,12.5,133.3,11.2,9.0,38.0,33.0
Bungoma,0.7054,34.7782,5.5,1.2,8.0,98.5,13.9,9.0,43.0,36.0
Bungoma,0.7713,34.7324,5.4,1.3,8.0,98.5,15.4,9.0,44.0,30.0
Bungoma,0.5454,34.5679,5.5,1.0,9.0,108.9,10.0,9.0,39.0,38.0
Bungoma,0.5184,34.6032,5.6,1.3,11.2,133.3,12.5,11.2,40.0,31.0
Bungoma,0.4646,34.6518,5.5,0.8,12.5,98.5,9.0,7.2,44.0,34.0
Bungoma,0.7739,34.7355,5.5,1.3,7.2,120.5,15.4,10.0,46.0,34.0
Bungoma,0.7564,34.6048,5.8,1.7,9.0,120.5,15.4,13.9,44.0,34.0
Bungoma,0.9997,34.5955,5.6,3.8,15.4,163.0,39.4,12.5,31.0,38.0
Bungoma,0.9211,34.6885,5.1,3.8,12.5,163.0,35.6,19.1,39.0,33.0
Bungoma,0.9147,34.507,5.2,3.9,12.5,180.3,43.7,19.1,35.0,33.0
Uasin Gishu,0.4307,35.2144,5.7,1.6,11.2,220.4,17.2,12.5,40.0,42.0
Uasin Gishu,0.5629,35.442,5.9,1.6,12.5,243.7,15.4,17.2,41.0,35.0
Uasin Gishu,0.2212,35.5223,5.5,2.2,15.4,199.3,21.2,15.4,40.0,37.0
