County,Year,Area_Ha,Production_Tons
Nakuru,2020,64963,206151
Nakuru,2021,87651,242825
Nakuru,2022,66315,213786
Nakuru,2023,71470,215412
Nakuru,2024,94421,201876
Kakamega,2020,83773,226888
Kakamega,2021,98415,262506
Kakamega,2022,100641,154369
Kakamega,2023,87532,132572
Kakamega,2024,105181,212753
Bungoma,2020,87960,317912
Bungoma,2021,93214,269443
Bungoma,2022,92464,275420
Bungoma,2023,92847,222912
Bungoma,2024,90297,207846
Trans Nzoia,2020,104850,489056
Trans Nzoia,2021,107090,407913
Trans Nzoia,2022,95140,339990
Trans Nzoia,2023,125065,448011
Trans Nzoia,2024,124976,423156
Uasin Gishu,2020,106999,456574
Uasin Gishu,2021,104645,385400
Uasin Gishu,2022,102820,359870
Uasin Gishu,2023,117923,476538
Uasin Gishu,2024,107009,483211
