Locations,Field,Soil fertility,Treatment,Season,N-AUE kg grain (kg N)−1  ,P-AUE kg grain (kg P)−1,K-AUE kg grain (kg N)−1,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Kibugu,1,High,NTR,LR 2017,27.0,72.0,54.0,,,Abbreviations,
Kibugu,1,High,CTM,LR 2017,27.875,74.33333333333333,55.75,,,LR,Long rain
Kibugu,1,High,NTRM,LR 2017,43.625,116.33333333333333,87.25,,,SR,Short rain
Kibugu,2,High,NTR,LR 2017,17.25,46.0,34.5,,,N,Nitrogen
Kibugu,2,High,CTM,LR 2017,39.0,104.0,78.0,,,P,Phosphorus
Kibugu,2,High,NTRM,LR 2017,42.125,112.33333333333333,84.25,,,K,Potassium
Kibugu,3,High,NTR,LR 2017,15.375,41.0,30.75,,,AUE,Agronomic use efficieny
Kibugu,3,High,CTM,LR 2017,26.375,70.33333333333333,52.75,,,,
Kibugu,3,High,NTRM,LR 2017,28.25,75.33333333333333,56.5,,,,
Kibugu,4,High,NTR,LR 2017,12.75,34.0,25.5,,,,
Kibugu,4,High,CTM,LR 2017,29.0,77.33333333333333,58.0,,,,
Kibugu,4,High,NTRM,LR 2017,23.625,63.0,47.25,,,,
Kibugu,5,High,NTR,LR 2017,17.125,45.666666666666664,34.25,,,,
Kibugu,5,High,CTM,LR 2017,33.875,90.33333333333333,67.75,,,,
Kibugu,5,High,NTRM,LR 2017,35.999999999999986,95.99999999999997,71.99999999999997,,,,
Kibugu,6,High,NTR,LR 2017,23.125,61.666666666666664,46.25,,,,
Kibugu,6,High,CTM,LR 2017,21.25,56.666666666666664,42.5,,,,
Kibugu,6,High,NTRM,LR 2017,43.25,115.33333333333333,86.5,,,,
Kibugu,7,High,NTR,LR 2017,11.875,31.666666666666668,23.75,,,,
Kibugu,7,High,CTM,LR 2017,19.25,51.333333333333336,38.5,,,,
Kibugu,7,High,NTRM,LR 2017,24.375,65.0,48.75,,,,
Kibugu,8,High,NTR,LR 2017,12.125,32.333333333333336,24.25,,,,
Kibugu,8,High,CTM,LR 2017,25.375,67.66666666666667,50.75,,,,
Kibugu,8,High,NTRM,LR 2017,11.375,30.333333333333332,22.75,,,,
Kibugu,9,High,NTR,LR 2017,35.75,95.33333333333333,71.5,,,,
Kibugu,9,High,CTM,LR 2017,42.125,112.33333333333333,84.25,,,,
Kibugu,9,High,NTRM,LR 2017,42.0,112.0,84.0,,,,
Kibugu,10,High,NTR,LR 2017,36.0,96.0,72.0,,,,
Kibugu,10,High,CTM,LR 2017,39.25,104.66666666666667,78.5,,,,
Kibugu,10,High,NTRM,LR 2017,42.25,112.66666666666667,84.5,,,,
Kibugu,11,Low,NTR,LR 2017,30.375,81.0,60.75,,,,
Kibugu,11,Low,CTM,LR 2017,57.375,153.0,114.75,,,,
Kibugu,11,Low,NTRM,LR 2017,13.0,34.666666666666664,26.0,,,,
Kibugu,12,Low,NTR,LR 2017,32.625,87.0,65.25,,,,
