Locations,Field,Soil fertility,Treatment,Period,Total Nitrogen (g kg-1),Soil organic carbon (g kg-1),pH (H20),Resin_Phosphorus (mg kg-1),Exchangeable_Potassium (mg kg-1),Sand (g kg-1),Silt (g kg-1),Clay (g kg-1)
Embu,1,High,C,Baseline,2.363032326355301,19.65814738021342,5.56,72.51160517527845,0.19562451299775485,,,
Embu,1,High,NTR,Baseline,2.5835414313493428,21.424041749455025,5.55,82.240916669141,0.4184127639364936,,,
Embu,1,High,CTM,Baseline,2.2,20.4,5.62,91.27250522011683,0.4011539128424903,,,
Embu,1,High,NTRM,Baseline,2.7364298486228398,20.331625835265275,5.66,80.30309964337049,0.4578239296127679,,,
Embu,2,High,C,Baseline,2.4,23.2,5.84,23.79505614036956,0.3732340183174564,,,
Embu,2,High,NTR,Baseline,2.5,24.2,6.05,6.0076271401299985,0.6662208857644064,,,
Embu,2,High,CTM,Baseline,2.2274803870162247,17.91548604631685,5.24,8.938179164086005,0.21740242467645401,,,
Embu,2,High,NTRM,Baseline,2.3717203820633355,19.69161947241032,5.73,25.749774476669636,0.4211741231843949,,,
Embu,3,High,C,Baseline,2.2273085769861267,18.45510806349958,5.74,2.7876625798687025,0.5192081436390608,,,
Embu,3,High,NTR,Baseline,2.27675403791595,19.184643779014408,5.7,8.452940079763522,0.5391304178965952,,,
Embu,3,High,CTM,Baseline,2.3000000000000003,22.0,5.75,7.6798744022626515,0.39800238520788417,,,
Embu,3,High,NTRM,Baseline,2.547468614872825,22.909269974847053,6.03,5.894399504339586,1.168857742083994,,,
Embu,4,High,C,Baseline,2.7351642684036515,22.5849226597469,5.58,2.498436764441809,0.15891110934770675,,,
Embu,4,High,NTR,Baseline,2.5206298890617966,20.521212987037515,5.54,2.86426122367716,0.06960357768530795,,,
Embu,4,High,CTM,Baseline,2.0102409191799815,19.070769515843637,5.5,3.80720898245913,0.3549844295912262,,,
Embu,4,High,NTRM,Baseline,0.15345833751888827,2.383325889342292,5.36,2.944751766231116,0.0852558528142957,,,
Embu,5,High,C,Baseline,2.076126407524198,17.27640820529,5.47,8.173671707623551,0.31954967321700034,,,
Embu,5,High,NTR,Baseline,2.076126407524198,17.27640820529,5.47,8.173671707623551,0.31954967321700034,,,
Embu,5,High,CTM,Baseline,2.076126407524198,17.27640820529,5.47,8.173671707623551,0.31954967321700034,,,
Embu,5,High,NTRM,Baseline,2.076126407524198,17.27640820529,5.47,8.173671707623551,0.31954967321700034,,,
Embu,6,High,C,Baseline,2.076126407524198,17.27640820529,5.47,19.9290687837574,0.004569101093939799,,,
Embu,6,High,NTR,Baseline,2.076126407524198,17.27640820529,5.47,19.9290687837574,0.004569101093939799,,,
Embu,6,High,CTM,Baseline,2.076126407524198,17.27640820529,5.47,19.9290687837574,0.004569101093939799,,,
Embu,6,High,NTRM,Baseline,2.076126407524198,17.27640820529,5.47,19.9290687837574,0.004569101093939799,,,
Embu,7,High,C,Baseline,1.390509831502136,13.44006545737729,5.97,4.576586651334248,0.13086381896484758,,,
Embu,7,High,NTR,Baseline,1.390509831502136,13.44006545737729,5.97,4.576586651334248,0.13086381896484758,,,
Embu,7,High,CTM,Baseline,1.390509831502136,13.44006545737729,5.97,4.576586651334248,0.13086381896484758,,,
Embu,7,High,NTRM,Baseline,1.390509831502136,13.44006545737729,5.97,4.576586651334248,0.13086381896484758,,,
Embu,8,High,C,Baseline,1.390509831502136,13.44006545737729,5.97,0.02485966834525659,0.20885766641463144,,,
Embu,8,High,NTR,Baseline,1.390509831502136,13.44006545737729,5.97,0.02485966834525659,0.20885766641463144,,,
Embu,8,High,CTM,Baseline,1.390509831502136,13.44006545737729,5.97,0.02485966834525659,0.20885766641463144,,,
Embu,8,High,NTRM,Baseline,1.390509831502136,13.44006545737729,5.97,0.02485966834525659,0.20885766641463144,,,
Embu,9,High,C,Baseline,2.4236443384635074,20.87381904567177,5.68,22.321808514519514,0.23750756799988515,,,
Embu,9,High,NTR,Baseline,2.4236443384635074,20.87381904567177,5.68,22.321808514519514,0.23750756799988515,,,
