Location,Depth,Field,Treatment,Air permeability (µ m2),Hydraulic conductivity (m day-1),Bulk density (Mg m-3),Mean weight diameter (mm),Shear strength (kPa),Field capacity (m3 m-3),Permanent wilting point (m3 m-3),Matrix-porosity (m3 m-3),Macro-porosity (m3 m-3),Plant available water content (m3 m-3),Relative water capacity,Air capacity (m3 m-3)
Kibugu,Top,1,C,12.114755224082211,0.2535142763735554,0.9801413640636469,0.8169421487603306,62.88199999999999,0.3333427634303417,0.26481578864322564,0.3343987560808632,0.2856380734436297,0.06852697478711606,0.5376176826237608,0.2866940660941512
Kibugu,Top,1,NTR,28.85296950986554,5.6405901358936035,0.882714015274512,1.5189741035856577,68.35,0.3520006159576873,0.2769349710465279,0.3991071615778292,0.107551293308217,0.07506564491115936,0.6947493179342218,0.15465783892835894
Kibugu,Top,1,CTM,25.47339411955593,6.248027166025869,0.8406607632050401,1.5275398406374505,73.818,0.27433517636093385,0.2275142504389816,0.3331541876921929,0.3236209423196013,0.04682092592195225,0.41770031145364384,0.38243995365086036
Kibugu,Top,1,NTRM,20.63838608734461,9.023119614105186,0.8641641132185507,1.0993055555555555,71.08399999999999,0.2678149761166649,0.22110808866999151,0.32922778475019593,0.3255518242772603,0.04670688744667337,0.4090154495104854,0.38696463291079136
Kibugu,Top,2,C,9.945312135665077,1.8231378021840408,0.9859398456113334,0.5637948207171316,87.488,0.3612840540486535,0.2855559631124802,0.3984857806581514,0.07970874658779281,0.07572809093617328,0.7555169151127455,0.1169104731972907
Kibugu,Top,2,NTR,15.008380132003667,5.802554748191318,0.8690815563403299,1.536503984063745,62.88199999999999,0.285148859890654,0.23482568550985453,0.37399968702149794,0.23157980425418384,0.0503231743807995,0.4708694135099828,0.32043063138502775
Kibugu,Top,2,CTM,10.247485336247232,3.2103342860343558,0.98114351528585,1.0011500000000002,62.88199999999999,0.33180697461063974,0.2419461316060418,0.38894456285526474,0.21957503777014548,0.08986084300459793,0.5452691651503465,0.2767126260147705
Kibugu,Top,2,NTRM,13.731406210113278,0.8415604094881527,0.9059125032145542,1.0788767395626242,54.67999999999999,0.3091216395902962,0.2341111083988924,0.3646248882887657,0.19395976200453013,0.0750105311914038,0.5534016006848483,0.24946301070299964
Kibugu,Top,3,C,15.099158100706086,9.583192616762007,0.9501058723768505,0.8563126252505009,65.616,0.339685664083506,0.27505199892036925,0.3960328776647177,0.14479979136203808,0.06463366516313673,0.6280790409624852,0.20114700494324977
Kibugu,Top,3,NTR,16.525632738049303,7.2917952694579435,0.8895816237751155,1.0045409181636729,79.28599999999999,0.3309073335525842,0.2735878723823352,0.39231836616905225,0.13803810328439914,0.05731946117024905,0.623933811712704,0.19944913590086716
Kibugu,Top,3,CTM,8.59894833614322,0.3483583394395404,0.9750995294453098,0.7568862275449103,65.616,0.3211492849031976,0.29888626353316694,0.391411053312021,0.13611180388031574,0.022263021370030667,0.6087874307711854,0.2063735722891391
Kibugu,Top,3,NTRM,15.439544573279164,5.194817342519464,0.9844798103677144,0.7864314115308151,71.08399999999999,0.27496220826946194,0.2245176524265668,0.33403605170599493,0.2755199281813937,0.050444555842895145,0.45108606484388747,0.34671120348582707
Kibugu,Top,4,C,6.0722396894464,1.7684965126924959,0.9686035562698422,0.5989000000000001,71.08399999999999,0.32269629637682856,0.24151309041320032,0.37725971259909896,0.20010263676689743,0.08118320596362824,0.558914686299137,0.25466605298916783
Kibugu,Top,4,NTR,1.41846395628275,2.876502921310489,0.9004595176001349,1.0031936127744512,114.828,0.3283263945040206,0.2937012819088285,0.37357892253564584,0.18644221411925888,0.03462511259519213,0.5862750046635139,0.2316947421508841
Kibugu,Top,4,CTM,7.063431914534855,3.4562271199191725,0.9034841234823997,1.1778443113772454,62.88199999999999,0.2951078795294269,0.2425672158582455,0.45134261404089054,0.18035063668954537,0.0525406636711814,0.4671695940841373,0.336585371201009
Kibugu,Top,4,NTRM,19.79166594162205,5.27624081183795,0.836388968449965,1.6144211576846308,123.03,0.3416693632815824,0.2834599234752002,0.38939664313318123,0.16342799614855608,0.05820943980638221,0.618042936229289,0.21115527600015488
Kibugu,Top,5,C,5.284366281254665,2.9914342454567815,0.9416471279124428,0.9604581673306776,117.56199999999998,0.32595477504661496,0.28296971773126434,0.390495318657435,0.18268869553812533,0.04298505731535063,0.568673876057201,0.24722923914894535
Kibugu,Top,5,NTR,6.170333088788298,2.4427653114606427,0.989232528343239,0.8912350597609561,95.68999999999998,0.32529477287299,0.24954963815285797,0.3589882142849871,0.22549052965527755,0.07574513472013206,0.5565553516626022,0.25918397106727464
Kibugu,Top,5,CTM,6.040503245076472,0.12542704967507046,0.910507632980946,1.0441767068273093,62.88199999999999,0.32242518069232395,0.2918085525078368,0.38108903905635594,0.17825353626292295,0.030616628184487127,0.5764359712976974,0.23691739462695494
Kibugu,Sub,1,C,0.5525173408702823,0.16076592617902336,0.9308863853294825,0.4225,147.636,0.33858755661565226,0.2941952255522423,0.4398183982810933,0.11474135191378071,0.04439233106340995,0.6105519856005985,0.21597219357922176
Kibugu,Sub,1,NTR,6.634640047723092,11.33002717865826,0.9981289832321419,0.9096613545816735,87.488,0.34242664442650556,0.1385104262811221,0.3860614390984461,0.20948519588977804,0.20391621814538347,0.574978724266113,0.2531199905617186
Kibugu,Sub,1,CTM,27.625867043514106,2.615855919726167,0.9265689967907215,1.0192,101.15799999999999,0.3029167874123511,0.2191371406291682,0.3598523220546405,0.2664316161061501,0.08377964678318292,0.4836732493921646,0.3233671507484395
Kibugu,Sub,1,NTRM,11.14394490425456,6.186959926249476,0.8395360438939153,0.9790419161676646,98.42399999999999,0.2869842599025117,0.23791646449390944,0.3655829111114397,0.24018662599759366,0.04906779540860226,0.4737515545468193,0.31878527720652167
Kibugu,Sub,2,C,6.2920795108763095,1.0493531031889314,1.0454253804059124,0.9332834331337329,147.636,0.3619753738451463,0.15298908005940157,0.38674467337778345,0.13831458873260677,0.2089862937857447,0.6893990830487309,0.16308388826524395
Kibugu,Sub,2,NTR,13.332171397674882,6.713496275462665,1.0280111040524802,0.8377490039840638,114.828,0.41751986819878895,0.3734190464245845,0.4611044232480452,0.10470107141759438,0.044100821774204435,0.7379211975407214,0.14828562646685062
Kibugu,Sub,2,CTM,5.833983358629783,0.8769223012875744,0.9913828737131968,0.6671130952380953,133.966,0.36165096145878073,0.2780928279632645,0.4124698276527149,0.14058686639784101,0.08355813349551622,0.6539129990635673,0.19140573259177518
Kibugu,Sub,2,NTRM,4.347806669571729,1.8174754245545182,1.0034306500807104,0.7587906504065042,76.55199999999999,0.34040010431625645,0.2672893871394032,0.38520600431039376,0.11660537393912296,0.07311071717685325,0.6783427380695991,0.16141127393326027
Kibugu,Sub,3,C,5.8455988258219485,1.5646977349045172,1.016029550493984,0.7414670658682634,142.16799999999998,0.39636317629160894,0.3313594315911452,0.4573332920960228,0.0894762848692322,0.06500374470046372,0.7248650956177279,0.15044640067364606
Kibugu,Sub,3,NTR,12.148182576138122,0.6025988117322578,0.9671643483292288,1.0083167330677294,123.03,0.34442477214762407,0.3012873197777881,0.4148113485238255,0.06727488788228841,0.04313745236983596,0.7144463918224735,0.13766146425848985
Kibugu,Sub,3,CTM,0.11007139246583793,0.029850493,1.048456531765961,0.6755489021956087,114.828,0.4007613770070663,0.34140305197189474,0.4434806288884179,0.0759949249838009,0.05935832503517158,0.7714730250918527,0.11871417686515245
Kibugu,Sub,3,NTRM,0.4765462065006183,0.01746834,1.0478437881096727,0.5567956349206349,142.16799999999998,0.3827993190182262,0.3347149633713238,0.44978550227411085,0.0711016906550146,0.048084355646902444,0.7348986963292681,0.13808787391089922
Kibugu,Sub,4,C,4.979770025011127,0.3279152053092727,0.8987379360781118,0.9756972111553786,95.68999999999998,0.32136147315940455,0.24590875123961362,0.37450160865705084,0.16607038140349606,0.07545272191979094,0.5944841372994749,0.21921051690114235
Kibugu,Sub,4,NTR,0.055141230618854155,0.03875092,1.054137354602591,0.5342999999999999,142.16799999999998,0.3520804737262147,0.2653708148781785,0.39870122415314013,0.19355234409985822,0.08670965884803622,0.5944759012001651,0.24017309452678365
Kibugu,Sub,4,CTM,0.3453233380439263,0.027649240000000002,1.0323898368053541,0.8687500000000001,98.42399999999999,0.34412994560178467,0.29903227127897036,0.4102703846911953,0.12015470925556221,0.04509767432281431,0.6487814199007851,0.18629514834497285
Kibugu,Sub,4,NTRM,0.9392794794794795,0.10129893817912956,1.0154454746032378,0.41110537190082647,131.232,0.3293336674388878,0.26534724774950735,0.37980850969326824,0.18789206428367672,0.06398641968938046,0.5801186092375916,0.23836690653805714
Kibugu,Sub,5,C,1.4693280700829654,0.19124083426610772,1.018135690471203,0.2998417721518987,142.16799999999998,0.3434127811841949,0.25727289483934457,0.3902056706683295,0.19246742395716449,0.08613988634485031,0.5893747014437303,0.2392603134412991
Kibugu,Sub,5,NTR,4.001600912955369,0.24000056122439922,1.0608133615126059,0.5936633663366336,136.7,0.3140007550077314,0.25789627913596574,0.4205249255982185,0.22476924893484318,0.05610447587176565,0.4866009448093097,0.3312934195253303
Kibugu,Sub,5,CTM,3.3210080595497806,0.23250621966567495,0.9528865137492558,0.7882765531062123,123.03,0.3321530951224919,0.29313440951045855,0.42281136611518344,0.15288860729329679,0.039018685612033366,0.5769552031693723,0.2435468782859883
Machang'a,Top,6,C,2.2926325744627807,0.25035163758472284,1.5099447640384056,0.2964641434262948,82.02,0.1196237565689279,0.0638364471831344,0.21988543077818107,0.129639508601278,0.0557873093857935,0.3422466985655044,0.22990118281053115
Machang'a,Top,6,NTR,1.3815293594118954,1.037362600293563,1.4372600951094079,0.3140690376569038,73.818,0.08252211072398484,0.04254046793135686,0.22104703272369908,0.18863917647095907,0.03998164279262798,0.20142760208161004,0.3271640984706733
Machang'a,Top,6,CTM,2.3885458735282743,0.2663941622346636,1.4720236263555937,0.30762886597938144,71.08399999999999,0.09817409968106407,0.06745121738017527,0.19032428305621177,0.24978020634921125,0.030722882300888793,0.22306998007154244,0.34193038972435896
Machang'a,Top,6,NTRM,3.6092441859613635,1.6164297715197966,1.3793649014535518,0.25168024439918535,82.02,0.10287926301882976,0.060119234196555425,0.2470945792347145,0.1890952151755685,0.04276002882227433,0.2358589410784354,0.3333105313914532
Machang'a,Top,7,C,1.795681357828417,1.3380630350231562,1.529497679458477,0.33552009456264775,82.02,0.13447568159131312,0.07663127432869586,0.23640761564767918,0.17212119886379015,0.05784440726261726,0.32917061615867427,0.2740531329201562
Machang'a,Top,7,NTR,2.214986767814874,0.18708676292847745,1.3436989505335082,0.3200733752620545,109.35999999999999,0.15471336296816687,0.09718453975002656,0.24769419019114738,0.11609389184845112,0.05752882321814032,0.4252843086578253,0.20907471907143163
Machang'a,Top,7,CTM,1.2682483042336452,1.0292233989594162,1.474788075203056,0.313045634920635,73.818,0.17214953282271617,0.11550064411292164,0.25654605822839405,0.15169727495261714,0.05664888870979452,0.4216836352998977,0.23609380035829503
Machang'a,Top,7,NTRM,5.111271722038858,0.7069524618049425,1.47941345036609,0.40379241516966075,123.03,0.1263820535488622,0.06637904599373416,0.2524820620558468,0.12799088594614244,0.06000300755512804,0.33217093150128874,0.25409089445312705
Machang'a,Top,8,C,2.247005147718307,0.0592938089016449,1.498051056207243,0.25815,82.02,0.2285529810988635,0.15794458095846045,0.2651665758593241,0.0969539093715669,0.07060840014040304,0.6311517586560622,0.13356750413202753
Machang'a,Top,8,NTR,4.192049383857892,0.2865963693823114,1.3611672738385299,0.34840954274353875,82.02,0.21285490942855778,0.16710758942214088,0.28731982652538607,0.14454396468344238,0.0457473200064169,0.4928751003476266,0.21900888178027067
Machang'a,Top,8,CTM,6.348424103990728,0.6405443001830693,1.5307432704926467,0.22867647058823534,95.68999999999998,0.1531286279811729,0.10686756132520267,0.22962423602669055,0.1503997477432111,0.04626106665597024,0.40294464170948174,0.22689535578872874
Machang'a,Top,8,NTRM,3.09501415010324,0.3699927216442063,1.531681513025919,0.27489795918367343,71.08399999999999,0.19904084636275918,0.17345634930121615,0.26651107975219024,0.10827180775658951,0.025584497061543032,0.5310830696828344,0.17574204114602057
Machang'a,Top,9,C,2.6415527717479934,0.6185158105034327,1.4190349386494234,0.2711232604373757,79.28599999999999,0.08328276027560304,0.07125175431907775,0.2320891353226129,0.19601333280394304,0.012031005956525287,0.19453931354346443,0.3448197078509529
Machang'a,Top,9,NTR,2.005187067259039,0.5364677948244061,1.5165920598796372,0.4331275720164608,87.488,0.11013269977767567,0.06671703267710852,0.20136774456772025,0.23354428374064615,0.04341566710056716,0.253229831803107,0.3247793285306907
Machang'a,Top,9,CTM,4.505156360046874,1.8032530918467422,1.6293674814067989,0.32534722222222223,73.818,0.1328250913139983,0.05005188094283079,0.22505282810839422,0.18321172198436964,0.08277321037116751,0.32534074115378975,0.2754394587787655
Machang'a,Top,9,NTRM,2.5055954007559174,1.9263333878655302,1.5172524904619349,0.27674537987679676,82.02,0.2660093242630209,0.17899060827415256,0.31170892156480084,0.11933317224270801,0.08701871598886832,0.6171307352219133,0.16503276954448798
Machang'a,Top,10,C,4.50132494847789,0.1804004447301679,1.4991748188443401,0.4084388185654009,76.55199999999999,0.16173939770027776,0.09235024738384631,0.27296618233708714,0.14056812920262274,0.06938915031643145,0.3911148197064337,0.2517949138394321
Machang'a,Top,10,NTR,4.2375556664580705,2.35354003103224,1.5300336208748078,0.37306034482758627,98.42399999999999,0.18494911900684477,0.1387029775775475,0.2502286488268851,0.10447360244588683,0.04624614142929728,0.5214207644388922,0.16975313226592717
Machang'a,Top,10,CTM,3.571705848722025,1.5558160061153767,1.5663795045794153,0.3087310195227766,68.35,0.16491431966022052,0.09824302871629394,0.28435399478142714,0.14058277835550997,0.06667129094392658,0.38809142932677276,0.2600224534767166
Machang'a,Top,10,NTRM,1.9751389901430842,1.1499346585742276,1.5146864938768656,0.6767015706806282,109.35999999999999,0.1712648513196322,0.10348313596830822,0.26501574139016953,0.18330740601111523,0.06778171535132399,0.3820120649856533,0.27705829608165256
Machang'a,Sub,6,C,0.13785307654713538,0.9455922158223573,1.519739200505727,0.6383964143426296,54.67999999999999,0.16588702540731542,0.11966450397682893,0.24293228455237603,0.11738445797333064,0.046222521430486496,0.4603922211454836,0.19442971711839124
Machang'a,Sub,6,NTR,0.7597113436966377,2.2795462992088353,1.5819085410595979,0.4318000000000001,109.35999999999999,0.11434571072283338,0.08346030507712833,0.2246061663288088,0.22483288294115067,0.03088540564570505,0.2544187268742433,0.3350933385471261
