"farmer","siteid_source","siteid","gridpointid","gridcellid_rainfall","rainfallregime","gridcellid_smoist","gridcellid_temp","year","NDWDMTBelow13.8C","GDDBelow13.8","S","LowestADMT31","alt4gridcell_temp","rains","start_wet","end_wet","Ndays","Nwetdays","Ndrydays","rainfallacc","smoist_Ndayswthobs","smoistacc","avgsmoistbefNdayswthobs","avgsmoistbef","temp_avdm","temp_mindm","temp_maxdm","Ndryspls2days","Ndryspls3days","Ndryspls4days","Ndryspls5days","Ndryspls6days","Ndryspls7days","Ndryspls8days","Ndryspls9days","Ndryspls10days","Ndryspls11days","Ndryspls12days","Ndryspls13days","Ndryspls14days","Ndryspls15days","Ndryspls16days","Ndryspls17days","Ndryspls18days","Ndryspls19days","Ndryspls20ormoredays","Ndrysplmaxlgth","Ndrysplfst20days","Ndrysplaft50days","dmtperc2.5","dmtperc5","dmtperc10","dmtperc25","dmtperc75","dmtperc90","dmtperc95","dmtperc97.5","county","region","m_asl"
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1981,0,0,197,292.77,1301.521,"LR",74,169,95,75,20,860.77,13,23.52,0,0,293.67,292.25,295.25,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,7,292.274,292.4242,292.6254,292.9587,294.0098,294.4482,294.7035,294.9557,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1981,0,0,197,292.77,1301.521,"SR",217,322,105,51,54,429.52,11,25.04,2,0.2609,293.53,291.5,295.5,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,291.9084,292.1887,292.4129,292.8694,293.8063,294.5751,294.8994,295.1156,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1982,0,0,321,292.77,1301.521,"LR",74,169,95,60,35,756.19,13,23.09,1,0.1764,294.13,292,297.5,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,7,9,292.0496,292.2973,292.5671,293.2002,294.6591,295.6557,296.3163,296.9109,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1982,0,0,321,292.77,1301.521,"SR",217,322,105,73,32,702.2,11,24.44,2,0.2829,293.42,291.75,295.5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,291.8889,292.0803,292.3393,292.771,293.747,294.3776,294.7192,294.952,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1983,0,0,236,293.04,1301.521,"LR",74,169,95,56,39,732.23,12,22.55,1,0.1905,294.74,292.75,297.5,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,293.0971,293.525,293.6724,294.0861,295.1369,295.6266,296.0355,296.4112,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1983,0,0,236,293.04,1301.521,"SR",217,322,105,80,25,637.99,11,27.18,1,0.1905,293.41,292.25,295.5,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,292.25,292.25,292.3769,292.7575,293.7693,294.1727,294.4817,294.8428,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1984,0,0,205,292.41,1301.521,"LR",74,169,95,36,59,558.09,11,22.8,2,0.2093,294.12,291.75,297.25,1,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,12,12,9,292.0968,292.6914,292.9777,293.4457,294.3982,295.0423,295.8791,296.4572,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1984,0,0,205,292.41,1301.521,"SR",217,322,105,56,49,443.11,12,25.63,2,0.2635,293.43,291.25,296,4,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,14,3,14,291.6589,291.8443,292.0488,292.5623,293.9935,294.7115,294.992,295.3438,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1985,0,0,195,292.2,1301.521,"LR",74,169,95,67,28,779.44,13,24.9,1,0.1585,293.09,291.25,297.75,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,4,9,291.25,291.4712,291.8746,292.252,293.3126,293.9437,294.6269,296.8326,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1985,0,0,195,292.2,1301.521,"SR",217,322,105,59,46,487.75,12,26.45,0,0,293.4,291.5,295.75,5,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,6,8,291.5,291.6064,292.1254,292.7337,293.8058,294.478,294.7417,295.1714,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1986,0,0,199,292.33,1301.521,"LR",74,169,95,62,33,706.27,2,17.36,2,0.2304,293.47,291.25,295.25,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,291.5623,291.9587,292.275,292.7715,293.9287,294.4732,294.8296,294.9817,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1986,0,0,199,292.33,1301.521,"SR",217,322,105,46,59,482.15,12,25.52,2,0.3038,293.54,292,295.75,2,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,292.0526,292.1351,292.3078,292.7583,294.0796,294.5225,294.744,295.1156,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1987,0,0,161,292.96,1301.521,"LR",74,169,95,62,33,773.89,11,22.61,2,0.2753,293.92,292,297.25,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,292.0315,292.2312,292.4414,292.9354,294.512,295.211,295.6682,296.22,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1987,0,0,161,292.96,1301.521,"SR",217,322,105,61,44,563.24,0,0,0,0,294.21,292,295.75,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,292.2928,292.4542,292.9084,293.5728,294.7703,295.1156,295.247,295.4497,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1988,0,0,209,292.86,1301.521,"LR",74,169,95,58,37,779.41,4,24.24,4,0.2585,294.13,291.75,297,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,292.2965,292.5435,292.8116,293.3266,294.5773,295.4392,295.8281,295.9805,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1988,0,0,209,292.86,1301.521,"SR",217,322,105,78,27,794.71,3,25.69,0,0,293.44,291.75,295.5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,291.9565,292.0953,292.3769,292.756,293.7921,294.3288,294.6479,294.8656,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1989,0,0,176,292.71,1301.521,"LR",74,169,95,52,43,694.43,23,24.59,1,0.2038,293.33,291.5,295.5,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3,7,291.6161,291.8123,292.1046,292.6131,293.8463,294.2427,294.6591,294.9554,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1989,0,0,176,292.71,1301.521,"SR",217,322,105,62,43,528.35,0,0,0,0,293.75,292,296,7,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,6,292,292.1882,292.5565,292.985,294.2462,294.7748,294.991,295.3674,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1990,0,0,213,293.34,1301.521,"LR",74,169,95,65,30,641.5,0,0,0,0,293.9,292,295.5,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,7,292.1717,292.7988,293.023,293.2332,294.2948,294.6276,294.8133,294.9324,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1990,0,0,213,293.34,1301.521,"SR",217,322,105,60,45,568.96,0,0,0,0,293.85,291.75,296.25,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,292.5158,292.5743,292.696,293.2545,294.1419,294.777,295.187,295.6734,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1991,0,0,199,292.93,1301.521,"LR",74,169,95,66,29,825.37,0,0,0,0,294,292.25,297,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,6,292.521,292.6161,292.8443,293.2247,294.1614,295.5023,296.5245,296.7195,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1991,0,0,199,292.93,1301.521,"SR",217,322,105,59,46,550.41,32,25.9,0,0,293.57,291.5,295.75,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,2,10,291.5,292.019,292.2998,292.7592,294.1121,294.8268,295.2182,295.4479,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1992,0,0,194,292.64,1301.521,"LR",74,169,95,65,30,710.43,32,22.26,5,0.1117,294.31,292.25,298.5,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,292.3689,292.5315,292.7317,293.2823,294.9152,295.96,296.3103,296.7045,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1992,0,0,194,292.64,1301.521,"SR",217,322,105,62,43,542.42,35,25.72,2,0.2383,293.62,292.25,295.5,4,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,4,4,292.25,292.2793,292.3997,292.764,294.1727,294.6053,294.8591,295.0641,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1993,0,0,170,293.2,1301.521,"LR",74,169,95,63,32,731.55,38,23.08,2,0.1339,294.14,292.25,296,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3,2,292.25,292.5503,292.8468,293.3836,294.6637,295.1441,295.3543,295.5796,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1993,0,0,170,293.2,1301.521,"SR",217,322,105,54,51,419.97,41,23.94,2,0.2472,294.23,292.25,295.75,6,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,292.4077,292.8036,293.0103,293.3676,294.7725,295.2104,295.3857,295.4802,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1994,0,0,188,292.88,1301.521,"LR",74,169,95,65,30,872.86,29,25.56,6,0.1394,293.96,291.5,296.5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,292.2858,292.481,292.7763,293.2668,294.3829,294.8984,295.5641,296.1597,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1994,0,0,188,292.88,1301.521,"SR",217,322,105,63,42,523.37,31,27.53,5,0.259,293.65,291.5,295.75,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6,291.7723,292.0488,292.2317,292.8826,294.1802,294.7417,294.9502,295.1161,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1995,0,0,193,292.86,1301.521,"LR",74,169,95,61,34,690.06,38,24.89,5,0.2734,294.28,292.25,296.75,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,292.4212,292.5878,292.8761,293.5248,294.6329,295.4572,295.9257,296.205,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1995,0,0,193,292.86,1301.521,"SR",217,322,105,71,34,533.77,41,27.21,6,0.2696,294.08,292,295.75,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4,292.274,292.5518,292.7733,293.4152,294.5375,294.9129,295.232,295.4009,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1996,0,0,192,292.98,1301.521,"LR",74,169,95,67,28,829.23,42,26.27,4,0.1512,293.84,291.75,295.5,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,291.8476,292.223,292.6246,293.1351,294.3589,294.8281,295.0796,295.226,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1996,0,0,192,292.98,1301.521,"SR",217,322,105,73,32,618.37,39,25.05,3,0.2215,293.98,292.25,296.25,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,292.3541,292.5223,292.8546,293.3831,294.3441,294.7685,294.9567,295.1729,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1997,0,0,334,292.59,1301.521,"LR",74,169,95,63,32,731.72,34,22.79,1,0.1086,294.19,291.75,299.25,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,291.9227,292.1479,292.3806,293.1314,294.4827,295.7515,297.6584,298.3116,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1997,0,0,334,292.59,1301.521,"SR",217,322,105,49,56,462.48,23,26.2,3,0.2573,294.67,291.5,297.25,1,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,291.8051,292.2885,293.0368,293.7045,295.3736,295.9837,296.6514,296.9277,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1998,0,0,2,293.36,1301.521,"LR",74,169,95,55,40,757.23,34,25.84,2,0.2097,294.91,292.5,297.5,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,6,292.8453,293.3008,293.6261,294.1516,295.2277,296.1737,296.7843,297.0796,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1998,0,0,2,293.36,1301.521,"SR",217,322,105,68,37,472.77,30,27.96,2,0.2714,294.19,292.5,295.75,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,292.6594,293.0108,293.1734,293.5475,294.6049,294.9855,295.197,295.4214,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1999,0,0,192,292.97,1301.521,"LR",74,169,95,58,37,721,30,25.33,3,0.2478,293.91,292.25,296,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,292.25,292.4001,292.6479,293.241,294.3258,294.9001,295.1892,295.6584,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,1999,0,0,192,292.97,1301.521,"SR",217,322,105,68,37,584.29,28,27.32,2,0.2689,293.7,291.5,296,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,292.0811,292.2883,292.455,292.9054,294.1712,294.8378,295.0946,295.3649,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2000,0,0,336,293.32,1301.521,"LR",74,169,95,56,39,507.46,24,24.6,1,0.2009,294.48,292.75,297.25,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,292.7996,293.0383,293.2725,293.8671,294.8311,295.3266,295.6059,296.2185,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2000,0,0,336,293.32,1301.521,"SR",217,322,105,64,41,502.11,23,27.46,0,0,294.2,291.5,295.75,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,291.9084,292.3764,292.9635,293.508,294.7673,295.2267,295.4012,295.482,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2001,0,0,205,292.93,1301.521,"LR",74,169,95,73,22,708.63,0,0,0,0,293.94,291.75,296,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,291.9244,292.2222,292.7115,293.1454,294.4812,295.0641,295.3661,295.4512,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2001,0,0,205,292.93,1301.521,"SR",217,322,105,78,27,620.63,20,29.53,3,0.2513,293.81,291.5,295.75,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,291.6574,292.3296,292.6572,293.1974,294.2695,294.8481,295.1374,295.299,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2002,0,0,170,293.67,1301.521,"LR",74,169,95,58,37,773.62,7,24.84,0,0,294.33,291.25,297,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,291.7853,292.5623,293.0458,293.6444,294.7898,295.3769,295.9064,296.4129,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2002,0,0,170,293.67,1301.521,"SR",217,322,105,59,46,597.38,34,27.67,5,0.2554,294.46,292.75,296.5,7,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,292.75,292.8664,293.2079,293.6997,295.0511,295.6066,295.8393,295.9707,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2003,0,0,188,292.7,1301.521,"LR",74,169,95,65,30,835.23,0,0,0,0,294.45,292.25,297.5,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,3,4,292.2815,292.4812,292.8438,293.4587,295.1036,296.3754,296.78,297.0796,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2003,0,0,188,292.7,1301.521,"SR",217,322,105,63,42,526.69,0,0,0,0,294.45,292.25,296.5,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,292.6584,292.9392,293.288,293.7603,294.8834,295.5258,295.8151,296.049,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2004,0,0,178,293.55,1301.521,"LR",74,169,95,54,41,528.68,0,0,0,0,294.49,292,298,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,5,12,292.2342,292.5646,293.027,293.5315,295.045,296.0961,296.8108,297.4114,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2004,0,0,178,293.55,1301.521,"SR",217,322,105,60,45,602.7,0,0,0,0,294.3,292.5,296.75,7,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,292.5468,292.734,293.0956,293.5891,294.6995,295.3972,295.7332,296.048,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2005,0,0,184,293.2,1301.521,"LR",74,169,95,63,32,796.23,0,0,0,0,294.6,292,297.5,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,292.1707,292.5946,293.024,293.6572,295.1877,296.2227,296.7843,297.0816,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2005,0,0,184,293.2,1301.521,"SR",217,322,105,52,53,472.71,0,0,0,0,294.34,291.75,296,6,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,4,12,292.3073,292.52,293.022,293.6899,294.8726,295.4129,295.6384,295.783,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2006,0,0,325,293.02,1301.521,"LR",74,169,95,74,21,916.21,0,0,0,0,293.93,292,295.75,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,292.1764,292.563,292.8296,293.3213,294.3686,294.774,294.9692,295.1382,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2006,0,0,325,293.02,1301.521,"SR",217,322,105,62,43,575.68,0,0,0,0,294.34,291.5,296.5,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,5,292.1106,292.4409,292.8463,293.482,294.9485,295.3739,295.8994,296.2848,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2007,0,0,216,292.96,1301.521,"LR",74,169,95,53,42,661.7,59,24.4,7,0.1949,294.52,291.75,297.5,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,6,5,291.8478,292.222,292.6882,293.5285,295.2668,296.3488,296.769,296.9187,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2007,0,0,216,292.96,1301.521,"SR",217,322,105,72,33,619.16,66,27.41,7,0.2558,294.09,292,296.25,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,10,292,292.2127,292.6764,293.1742,294.8674,295.3013,295.463,295.6161,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2008,0,0,203,292.94,1301.521,"LR",74,169,95,65,30,794.28,67,24.56,6,0.1212,293.91,291.5,297,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,291.5936,292.1882,292.5185,293.0856,294.3684,295.1281,295.8549,296.0806,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2008,0,0,203,292.94,1301.521,"SR",217,322,105,80,25,724.94,73,27.83,8,0.2406,293.99,291.25,296.5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,291.6074,292.0646,292.7635,293.3363,294.4557,294.8761,295.3964,295.6749,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2009,0,0,194,293.68,1301.521,"LR",74,169,95,61,34,646.02,62,23.26,7,0.1467,294.75,292,297.5,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,5,292.5505,292.9414,293.525,293.971,295.0555,296.52,296.7237,297.1036,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2009,0,0,194,293.68,1301.521,"SR",217,322,105,69,36,592.8,68,25.68,8,0.2069,294.59,292.5,296,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,292.7733,293.1587,293.3899,293.9294,295.0646,295.4079,295.548,295.7127,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2010,0,0,199,293.59,1301.521,"LR",74,169,95,72,23,822.15,63,26.61,6,0.2415,294.58,292,297.25,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,292.5203,293.03,293.2297,293.8026,295.0638,295.8784,296.1569,296.3882,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2010,0,0,199,293.59,1301.521,"SR",217,322,105,67,38,622.2,72,27.84,6,0.2441,294.45,292.75,296,7,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,292.7923,292.955,293.1892,293.6837,294.959,295.4535,295.6877,295.8373,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2011,0,0,324,293.22,1301.521,"LR",74,169,95,73,22,797.13,67,24.81,7,0.1349,294.44,292,297,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,292.3453,292.9409,293.1261,293.7467,294.7127,295.5235,295.7738,295.969,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2011,0,0,324,293.22,1301.521,"SR",217,322,105,83,22,774.87,74,28.35,8,0.2622,293.68,291.25,295.5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,291.8584,292.1136,292.4625,292.9091,294.2025,294.6577,294.9384,295.283,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2012,0,0,183,292.94,1301.521,"LR",74,169,95,62,33,786.61,65,24.95,7,0.1546,294.4,291.75,298.75,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,291.9812,292.3456,292.724,293.1444,294.8681,297.1874,297.4677,297.9091,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2012,0,0,183,292.94,1301.521,"SR",217,322,105,78,27,872.45,74,28.47,7,0.2682,293.99,291.75,296.25,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,291.8851,292.2635,292.4797,293.0698,294.6149,295.2815,295.6104,295.8446,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2013,0,0,222,293.44,1301.521,"LR",74,169,95,70,25,851.23,73,26.52,8,0.2078,294.18,292.5,297.25,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,292.5475,292.7996,293.0468,293.5365,294.4447,295.1056,295.4099,295.9091,"Kakamega","Butere/Mumias",1363
"farmer_187","FinalCoordinates",1,1,88,2,2,3,2013,0,0,222,293.44,1301.521,"SR",217,322,105,75,30,659.63,80,28.5,8,0.2401,294.28,292.25,296.25,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,292.3021,292.5223,292.9587,293.5113,294.7765,295.3771,295.7215,295.9497,"Kakamega","Butere/Mumias",1363
